RK,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,RPG,APG,STPG,BLKPG,TOPG,PTS,ESPN
272,Willy Hernangomez, C,NOR,38,12.1,0.527,0.779,0.1,4.7,0.9,0.4,0.3,1,6.9,13.8
273,Terrence Ross, G,PHO,63,21.1,0.43,0.794,1.5,2.4,1.5,0.6,0.2,0.7,8.3,13.7
274,Nicolas Batum, PF,LAC,78,21.9,0.42,0.708,1.6,3.8,1.6,0.7,0.6,0.6,6.1,13.7
275,Jaylin Williams, F,OKC,49,18.7,0.436,0.704,0.9,4.9,1.6,0.6,0.2,0.8,5.9,13.7
276,Josh Okogie, SF,PHO,72,18.8,0.391,0.724,0.9,3.5,1.5,0.8,0.5,0.9,7.3,13.5
277,Jeremiah Robinson-Earl, PF,OKC,43,18.9,0.444,0.833,0.9,4.2,1,0.6,0.3,0.4,6.8,13.5
278,Anthony Lamb, F,GSW,62,19.3,0.471,0.767,1.2,3.5,1.5,0.5,0.3,0.9,6.7,13.5
279,Gabe York, G,IND,3,18.7,0.381,1,2,2,1.7,0.7,0,0,8,13.4
280,Devonte' Graham, PG,SAS,73,18.3,0.374,0.748,1.6,1.7,2.7,0.6,0.2,0.7,7.4,13.3
281,Kemba Walker, PG,DAL,9,16,0.421,0.81,0.8,1.8,2.1,0.2,0.2,0.4,8,13.2
282,Jock Landale, C,PHO,69,14.2,0.528,0.752,0.3,4.1,1,0.2,0.4,0.9,6.6,13.2
283,Georges Niang, SF,PHI,78,19.4,0.442,0.867,2,2.4,1,0.4,0.2,0.7,8.2,13.1
284,DeAndre Jordan, C,DEN,39,15,0.765,0.458,0,5.2,0.9,0.3,0.6,1.2,5.1,13.1
285,T.J. Warren, SF,PHO,42,16.4,0.489,0.8,0.5,2.9,1,0.5,0.3,0.5,7.5,13.1
286,Joe Harris, SF,BKN,74,20.6,0.457,0.643,1.9,2.2,1.4,0.5,0.2,0.6,7.6,13.1
287,Maxi Kleber, PF,DAL,37,25.1,0.456,0.711,1.1,3.6,1.4,0.3,0.8,0.7,5.9,13.1
288,Jaden Hardy, G,DAL,48,14.8,0.438,0.823,1.3,1.9,1.4,0.4,0.1,1,8.8,13.1
289,Daniel Theis, C,IND,7,15.6,0.477,0.417,0.3,3.1,1.3,0.3,0.9,0.4,7,13
290,Robert Covington, PF,LAC,48,16.2,0.445,0.75,1.1,3.5,1.2,0.8,0.7,0.7,6,13
291,Jeff Green, PF,DEN,56,19.5,0.488,0.744,0.5,2.6,1.2,0.3,0.3,0.8,7.8,13
292,Stanley Johnson, SF,SAS,30,15.6,0.533,0.667,0.6,3.2,2.2,0.5,0.2,1.1,5.8,13
293,John Konchar, SG,MEM,72,20.8,0.431,0.778,0.8,4.3,1.4,1.1,0.3,0.5,5.1,12.8
294,Aaron Wiggins, SG,OKC,70,18.5,0.512,0.831,0.7,3,1.1,0.6,0.2,0.8,6.8,12.8
295,JaMychal Green, F,GSW,57,14,0.54,0.776,0.7,3.6,0.9,0.4,0.4,0.9,6.4,12.8
296,Cody Zeller, C,MIA,15,14.5,0.627,0.686,0,4.3,0.7,0.2,0.3,0.9,6.5,12.8
297,Tre Mann, PG,OKC,67,17.7,0.393,0.764,1.2,2.3,1.8,0.6,0.2,0.9,7.7,12.6
298,Sandro Mamukelashvili, PF,SAS,43,15.3,0.422,0.684,0.7,4.3,1.4,0.3,0.3,0.8,6.1,12.6
299,Jalen Johnson, SF,ATL,70,14.9,0.491,0.628,0.4,4,1.2,0.5,0.5,0.6,5.6,12.6
300,Obi Toppin, PF,NYK,67,15.7,0.446,0.809,1.3,2.8,1,0.3,0.2,0.6,7.4,12.5
301,Chris Duarte, SG,IND,46,19.5,0.369,0.847,1.2,2.5,1.4,0.5,0.2,0.9,7.9,12.3
302,Dario Saric, PF,OKC,57,14.1,0.458,0.829,0.8,3.6,1.3,0.4,0.1,1,6.4,12.3
303,Ochai Agbaji, G,UTH,59,20.5,0.427,0.812,1.4,2.1,1.1,0.3,0.3,0.7,7.9,12.2
304,Isaac Okoro, SF,CLE,76,21.8,0.494,0.757,0.8,2.5,1.1,0.7,0.4,0.6,6.4,12.2
305,Will Barton, G,TOR,56,17.7,0.379,0.787,1.2,2.4,2,0.5,0.2,0.9,6.8,12.1
306,Jay Scrubb, G,ORL,2,15,0.714,0.5,1,3,0.5,1,0,1.5,6.5,12.1
307,Romeo Langford, SG,SAS,43,19.6,0.467,0.696,0.4,2.7,1.2,0.6,0.3,0.7,6.9,12
308,Wenyen Gabriel, F,LAL,68,15.1,0.596,0.619,0.1,4.2,0.5,0.4,0.5,0.7,5.5,12
309,Ricky Rubio, PG,CLE,33,17.2,0.343,0.8,0.6,2.1,3.5,0.8,0.2,0.9,5.2,11.9
310,Bismack Biyombo, C,PHO,61,14.3,0.578,0.357,0,4.3,0.9,0.3,1.4,0.8,4.3,11.9
311,Isaiah Livers, PF,DET,52,23.1,0.417,0.821,1.4,2.8,0.8,0.5,0.5,0.6,6.7,11.9
312,Gary Payton II, SG,GSW,22,16.7,0.594,0.857,0.6,3.1,1.4,1,0.2,0.7,4.6,11.6
313,Mike Muscala, C,BOS,63,15,0.449,0.769,1.3,3.2,0.8,0.2,0.4,0.4,6.1,11.6
314,Sam Hauser, SF,BOS,80,16.1,0.455,0.706,1.8,2.6,0.9,0.4,0.3,0.4,6.4,11.6
315,Svi Mykhailiuk, SG,CHA,32,14.6,0.445,0.667,1.3,1.7,1.7,0.5,0.1,0.8,6.9,11.6
316,Saben Lee, G,PHO,25,15,0.405,0.737,0.4,1.8,2.7,0.8,0,1,6,11.6
317,Nassir Little, SF,POR,54,18.1,0.442,0.717,1.1,2.6,0.9,0.4,0.4,0.7,6.6,11.5
318,Edmond Sumner, PG,BKN,53,13.9,0.461,0.917,0.6,1.5,1.3,0.6,0.2,0.9,7.1,11.4
319,Otto Porter Jr., SF,TOR,8,18.3,0.5,1,0.8,2.4,1,1.4,0,0.5,5.5,11.3
320,Nickeil Alexander-Walker, SG,MIN,59,15,0.444,0.667,1,1.7,1.8,0.5,0.4,0.9,6.2,11.2
321,Terence Davis, SG,SAC,64,13.1,0.423,0.791,1.4,2.2,1,0.7,0.2,0.8,6.7,11.2
322,Day'Ron Sharpe, C,BKN,48,11.5,0.544,0.636,0.1,4.2,0.8,0.3,0.7,0.9,4.7,11.2
323,Lindell Wigginton, G,MIL,7,12.4,0.486,0.889,0.9,1,2,0,0.3,1.7,7.1,11.1
324,Jonathan Isaac, PF,ORL,11,11.3,0.415,0.556,0.5,4,0.5,1.3,0.4,0.4,5,11.1
325,Eugene Omoruyi, F,DET,40,16.1,0.443,0.68,0.6,2.8,0.7,0.7,0.1,0.9,7,11.1
326,Goran Dragic, PG,MIL,58,15,0.421,0.689,0.9,1.4,2.6,0.2,0.1,1.1,6.3,11
327,George Hill, PG,IND,46,18.1,0.47,0.764,0.7,1.8,2.4,0.6,0.1,0.7,5,11
328,David Roddy, F,MEM,70,18,0.429,0.631,0.9,2.8,0.8,0.4,0.3,0.8,6.7,11
329,Davion Mitchell, PG,SAC,80,18.1,0.454,0.806,0.8,1.3,2.3,0.6,0.2,0.8,5.6,10.9
